r,sigma,Df,A,W,PiC_transfer,PiC_net,p,Q,S,CS,PiAI,Roy,NashVal
0.01683,0.3828757162708682,4.810539089939518,40.5278122778437,1001.0829916990875,0.0003595820997267087,6.406350314507037e-08,0.49455726532422667,0.04800150481117442,0.02373949295086213,0.9608282415452128,23.750740532706306,0.00039953566636300966,-13.623090841869544
0.01782,0.4816482475051994,4.810981329552542,68.3952044754015,2850.977687412414,0.0010854091512336249,-6.091133228636193e-08,0.8354515473191676,0.08100689799530257,0.06767733827370151,2.7364030070165053,67.64122348032386,0.001206010168037361,-inf
0.01881,0.5818761636504173,4.8119749869131745,105.25914184724132,6752.131218766958,0.0027162528071451465,4.345315617326762e-08,1.2870281945014057,0.12466680294093516,0.1604496903033343,6.48093550204932,160.20242834539422,0.003018058674605718,-12.862774270556931
0.019799999999999998,0.6757700786651035,4.813770773731608,148.07058089548403,13360.953440918485,0.005663594897748468,2.262782794471008e-10,1.812299906435463,0.1753696414736793,0.3178223848343697,12.824631149803045,317.012420843067,0.0062928832197205195,-15.150359489359893
0.02079,0.7573710554677975,4.816422916356579,192.07489450021694,22481.211957932464,0.010016436388454238,3.370733199226095e-08,2.353235413069467,0.22748400370161567,0.5353234134174677,21.57932129902866,533.4198547504029,0.011129373764949152,-12.388323003914378
0.02178,0.8237901193971452,4.819715976733798,232.7324677670023,33004.339260850844,0.015421190363028388,-3.763824861779952e-08,2.8542082939669187,0.2756334046439273,0.7867151496290372,31.68106365608644,783.1251103587109,0.01713465595892043,-inf
0.02277,0.8750273248867523,4.823276615463021,267.15593045200933,43487.582796955,0.0212651131757822,8.786485972134274e-08,3.2796527256770167,0.3163984145399668,1.0376769226458888,41.745017953659755,1031.8962818537057,0.02362790352864689,-11.579358417043181
0.02376,0.912940586175567,4.826752983037149,294.38855540532455,52802.680239740876,0.026970729285999657,-4.5630994915946137e-08,3.6175850395573006,0.34864624744096795,1.2612574488402384,50.68810384139683,1252.9606753604564,0.029967476984444064,-inf
0.02475,0.9401388576882186,4.829921871387894,314.8707164038856,60402.80630211503,0.03217169633568596,-6.963858116826317e-08,3.87315895271743,0.3728987499414486,1.44429613179286,57.98530020419223,1433.3402790555322,0.03574632926187329,-inf
0.02574,0.9592196601088137,4.832696971488659,329.7254251969105,66233.21718114892,0.03672635767260873,-3.0590316013601185e-08,4.059954287030927,0.3904861761509348,1.5853560248903016,63.58393221999619,1571.7330225198748,0.04080706408067636,-inf
0.02673,0.972397008191392,4.835086086972399,340.227957006941,70516.2700817528,0.04064751993766101,2.482245955448548e-08,4.193482160906391,0.4029190345875715,1.689633783832606,67.69734309655293,1673.4125425518782,0.04516391104184556,-11.96965054624968
0.02772,0.981398931324775,4.837143558156788,347.52565010209634,73570.10628614333,0.04402436879123323,-1.142884440419323e-08,4.287737614869121,0.4115562499846849,1.7646452136938124,70.63085405790733,1745.926083141536,0.048915965323592485,-inf
0.02871,0.987502865246832,4.838937249623733,352.53879685777395,75704.16316330947,0.04696828726414329,-2.2187160375608532e-08,4.353967953190146,0.41748780444194694,1.8177285213879517,72.68145987968481,1796.6150665643886,0.052186985849048094,-inf
0.0297,0.9916208969520676,4.840531157262072,355.95827237583376,77176.01245709076,0.04958430906309943,7.888413748879942e-08,4.40062958273392,0.4215319457950838,1.855005950733237,74.0963886128542,1831.5907300187978,0.05509367673677714,-11.346374970308185
0.03069,0.9943896721722113,4.841978608018783,358.28196272613326,78182.98143195498,0.05195995720270021,3.8936962321045605e-08,4.433824745165585,0.42427834290283895,1.8811758156004565,75.06505081091004,1855.5351183445052,0.05773328578077801,-11.692898913746477
0.03168,0.9962470011267045,4.843321126536868,359.85944541615333,78868.99190028032,0.05416338448081262,-3.8660346923791173e-08,4.457843121440017,0.42614100994569937,1.8996697699499376,75.72559886909445,1871.8632245147512,0.060181538312014025,-inf
