r,sigma,Df,A,W,p,Q,S,CS,PiAI,Roy
0.11187,1.0,4.941909768118035,366.633257756045,81502.51986891043,4.94630175733443,0.4336774052742333,2.145099311824176,79808.05835280001,1938.6572879222688,244.19577179001297
0.11286,1.0,4.943254570512829,366.6831388514462,81519.80724769537,4.952420704521058,0.433729877874011,2.1480128273526424,79827.37220037736,1939.1264502115978,246.69140290245159
0.11384999999999999,1.0,4.944603030510368,366.7331488015258,81537.14160612802,4.9585548811597056,0.4337824867150672,2.1509342668625915,79846.73854078878,1939.5968876304987,249.19382232887463
0.11484,1.0,4.945955163128637,366.7832881104303,81554.52313713168,4.9647043444824925,0.4338352323332707,2.1538636627545604,79866.15758958271,1940.0686054149662,251.70305780407466
0.11583,1.0,4.947310983156916,366.83355727341535,81571.952030064,4.9708691518539165,0.43388811525367077,2.1568010474705086,79885.62955846687,1940.5416087076992,254.2191371982908
0.11682,1.0,4.948670505994353,366.88395680793457,81589.4284831811,4.977049361193328,0.43394113602726764,2.1597464538600195,79905.15466884832,1941.0159028870057,256.7420885609502
0.11781,1.0,4.950033746582699,366.9344872140658,81606.95268777206,4.983245030440562,0.43399429518420296,2.162699914716234,79924.73313459886,1941.4914931481524,259.27194006708737
0.1188,1.0,4.951400720397333,366.9851490112474,81624.52484288835,4.9894562180555075,0.4340475932772085,2.1656614632089957,79944.36517805602,1941.968384892051,261.80872006942315
0.11979,1.0,4.952771442608702,367.0359427071914,81642.14514287893,4.9956829825978755,0.43410103084483637,2.1686311325197445,79964.05101648242,1942.446583396336,264.3524570557561
0.12078,1.0,4.954145928844662,367.0868688261333,81659.81378871946,5.001925383112686,0.4341546084448688,2.1716089561757386,79983.79087437327,1942.9260941143325,266.9031796900993
0.12177,1.0,4.955524194428119,367.1379278805785,81677.53097668088,5.008183478747551,0.4342083266209004,2.1745949677174137,80003.58497114679,1943.4069223760373,269.460916773203
0.12276,1.0,4.9569062550631635,367.1891203967215,81695.29690852528,5.01445732910038,0.4342621859323994,2.177589200999872,80023.43353222076,1943.8890736571864,272.0256972802838
0.12375,1.0,4.958292126377639,367.2404468974949,81713.11178470685,5.020746993990148,0.43431618693465784,2.1805916899934465,80043.33678162652,1944.3725533998368,274.5975503374948
0.12474,1.0,4.959681824304331,367.2919079166839,81730.97581003526,5.027052533651303,0.43437033019548277,2.183602468952155,80063.2949481617,1944.8573671618244,277.17650524388864
0.12573,1.0,4.9610753645473205,367.34350397915995,81748.88918574397,5.033374008465247,0.43442461627181617,2.1866215721800484,80083.30825677386,1945.3435204074644,279.762591442953
0.12672,1.0,4.962472763115624,367.3952356206392,81766.85211741981,5.039711479232198,0.4344790457331019,2.189649034266965,80103.37693717494,1945.8310187168015,282.35583855326246
0.12771,1.0,4.963874036170724,367.44710338202924,81784.86481273477,5.046065007095897,0.4345336191545963,2.192684890022744,80123.50122137768,1946.3198677257753,284.9562763613692
0.1287,1.0,4.9652791997216355,367.4991077981394,81802.92747691493,5.052434653390314,0.4345883371040157,2.1957291743436005,80143.68133877317,1946.8100730066376,287.5639348054106
0.12969,1.0,4.9666882700060775,367.5512494117865,81821.04031840233,5.058820479834869,0.4346432001582154,2.198781922381346,80163.91752228214,1947.301640217381,290.17884399787675
0.13068,1.0,4.968101263261763,367.60352876532613,81839.20354545572,5.0652225484199,0.4346982088931729,2.2018431694434435,80184.21000466225,1947.7945750120407,292.80103421360775
0.13167,1.0,4.969518196031346,367.65594641193087,81857.4173706797,5.071640921563768,0.4347533638973228,2.2049129511291663,80204.55902342898,1948.2888831602195,295.4305359088205
0.13266,1.0,4.970939084705002,367.70850289866297,81875.68200422774,5.078075661881496,0.43480866575153654,2.2079913031280443,80224.96481347136,1948.7845703677276,298.0673796953706
